id,use_case,department,intent_type,pillar_hint,locale,engine,query_text,target_brand,competitor_1,competitor_2,competitor_3,expected_entities,notes
P001,sales,sales,commercial,AEO|GEO,US,Google-AIO,"best lease deals on toyota rav4 near naples fl","Germain Toyota of Naples","Toyota of North Naples","Fort Myers Toyota","Hendrick Toyota Naples","Toyota RAV4, lease, Naples FL","Zero-click inclusion + citation"
P002,service,service,informational,GEO|UGC,US,Perplexity,"brake pad replacement cost for honda civic 2019 near me","Germain Honda","Naples Honda","Fort Myers Honda","", "Honda Civic 2019, brake service, pricing","Expect local overview + map refs"
P003,finance,finance,informational,SEO|AEO,US,ChatGPT,"what credit score for 0% apr toyota financing","Germain Toyota of Naples","Toyota Finance","Local Credit Union","", "APR, credit score, OEM finance","Cite OEM finance page + local policy"
P004,sales,sales,transactional,GEO|GeoLocal,US,Gemini,"buy certified pre-owned camry online with delivery","Germain Toyota of Naples","CarMax Naples","Carvana","", "CPO Camry, online purchase, delivery","Aim for product page citation"
P005,service,service,informational,AEO|UGC,US,Claude,"how often to service rav4 hybrid battery cooling fan","Germain Toyota of Naples","Independent Hybrid Shop","","", "RAV4 Hybrid, battery cooling fan","Cite service guide + video UGC"
P006,parts,parts,navigational,SEO|GEO,US,Google-AIO,"toyota genuine parts counter hours germain naples","Germain Toyota of Naples","Toyota of North Naples","","", "Parts, hours, address","NAP accuracy required"
P007,sales,sales,commercial,AEO|UGC,UK,Google-AIO,"best used suv for families manchester","DealerGroup UK","AutoTrader UK listing 1","AutoTrader UK listing 2","", "Family SUV, safety, mpg","Locale: UK spellings, GBP"
P008,service,service,informational,GEO|UGC,CA,Perplexity,"winter tire change cost near me","Dealer CA","Canadian Tire","","", "Winter tyres, pricing","Locale: CA GST/PST"
P009,sales,sales,commercial,AEO|GEO,AU,ChatGPT,"best ute for towing under 60k aud","Dealer AU","CarsGuide AU 1","CarsGuide AU 2","", "Ute, towing, AUD","Locale: AU, ute term"
P010,service,service,transactional,GeoLocal|GEO,US,Google-AIO,"schedule oil change near me open saturday naples","Germain Toyota of Naples","Quick Lube Naples","","", "Oil change, hours Saturday","Maps + booking link"